policyID,statecode,tiv,latitude,longitude,construction,granularity
119736,FL,498960,30.102261,-81.711777,Masonry,1
448094,FL,1322376.3,30.063936,-81.707664,Masonry,3
206893,FL,190724.4,30.089579,-81.700455,Wood,1
333743,FL,79520.76,30.063236,-81.707703,Wood,3
172534,FL,254281.5,30.060614,-81.702675,Wood,1
785275,FL,515035.62,30.063236,-81.707703,Masonry,3
995932,FL,19260000,30.102226,-81.713882,Reinforced Concrete,1
223488,FL,328500,30.102217,-81.707146,Wood,1
433512,FL,315000,30.118774,-81.704613,Wood,1
142071,FL,705600,30.100628,-81.703751,Masonry,1
253816,FL,831498.3,30.10216,-81.719444,Masonry,1
894922,FL,24059.09,30.095957,-81.695099,Wood,1
422834,FL,48115.94,30.100073,-81.739822,Wood,1
582721,FL,28869.12,30.09248,-81.725167,Wood,1
842700,FL,56135.64,30.101356,-81.726248,Wood,1
874333,FL,48115.94,30.113743,-81.727463,Wood,1
580146,FL,48115.94,30.121655,-81.732391,Wood,3
456149,FL,80192.49,30.109537,-81.741661,Wood,1
767862,FL,48115.94,30.11824,-81.745335,Wood,3
353022,FL,60946.79,30.065799,-81.717416,Wood,1
367814,FL,28869.12,30.082993,-81.710581,Wood,1
671392,FL,13410000,30.091921,-81.711929,Reinforced Concrete,3
772887,FL,1669113.93,30.117352,-81.711884,Masonry,1
983122,FL,179562.23,30.095783,-81.713181,Wood,3
934215,FL,177744.16,30.110518,-81.727478,Wood,1
385951,FL,17757.58,30.10288,-81.705719,Wood,1
716332,FL,130129.87,30.068468,-81.71624,Wood,1
751262,FL,42854.77,30.068468,-81.71624,Wood,1
633663,FL,785.58,30.068468,-81.71624,Wood,1
105851,FL,170361.91,30.068468,-81.71624,Wood,1
710400,FL,1430.89,30.068468,-81.71624,Wood,1
703001,FL,129913.27,30.079785,-81.706865,Wood,4
352792,FL,366285.62,30.08012,-81.718452,Masonry,1
717603,FL,22512.61,30.08012,-81.718452,Wood,1
937659,FL,9246.6,29.959805,-82.926659,Wood,3
294022,FL,96164.64,29.959805,-82.926659,Wood,3
410500,FL,11095.92,29.959805,-82.926659,Wood,3
524433,FL,218475,29.962601,-82.926155,Wood,3
779298,FL,1400904,29.962601,-82.926155,Masonry,3
491831,FL,4365,29.962601,-82.926155,Wood,3
814637,FL,4365,29.962601,-82.926155,Wood,3
737515,FL,39789,29.962601,-82.926155,Wood,3
222653,FL,24867,29.962601,-82.926155,Wood,3
788543,FL,213876,29.962601,-82.926155,Wood,3
691681,FL,69435,29.960735,-82.92542,Wood,3
368807,FL,14922,29.960735,-82.92542,Wood,3
174002,FL,165546,29.963396,-82.916763,Wood,1
198760,FL,72837,29.963396,-82.916763,Wood,1
831395,FL,72837,29.963396,-82.916763,Wood,1
305698,FL,19440,29.963396,-82.916763,Wood,1
515722,FL,9945,29.963396,-82.916763,Wood,1
415582,FL,255878.61,29.958415,-82.92394,Wood,3
783533,FL,153527.17,29.9696,-82.92767,Wood,4
640802,FL,255878.61,29.959404,-82.927582,Wood,1
